fiscal_year,students
2002.0,368465.0
2003.0,374409.0
2004.0,374130.0
2005.0,373909.0
2006.0,375973.0
2007.0,376410.0
2008.0,376630.0
2009.0,367711.0
2010.0,378947.0
2011.0,375090.0
2012.0,378531.0
2013.0,386481.0
2014.0,399013.0
2015.0,393652.0
2016.0,393614.0
2017.0,382653.0
2018.0,372668.0
2019.0,362597.0
2020.0,356443.0
2021.0,341961.0
2022.0,331668.0
